IPCC GWP Values,Waste,GWP Value
1995 IPCC Second Assessment Report (SAR),CO2,1
1995 IPCC Second Assessment Report (SAR),Biofuel CO2,1
1995 IPCC Second Assessment Report (SAR),CH4,21
1995 IPCC Second Assessment Report (SAR),N2O,310
2001 IPCC Third Assessment Report (TAR),CO2,1
2001 IPCC Third Assessment Report (TAR),Biofuel CO2,1
2001 IPCC Third Assessment Report (TAR),CH4,23
2001 IPCC Third Assessment Report (TAR),N2O,296
2007 IPCC Fourth Assessment Report,CO2,1
2007 IPCC Fourth Assessment Report,Biofuel CO2,1
2007 IPCC Fourth Assessment Report,CH4,25
2007 IPCC Fourth Assessment Report,N2O,298
2014 IPCC Fifth Assessment Report,CO2,1
2014 IPCC Fifth Assessment Report,Biofuel CO2,1
2014 IPCC Fifth Assessment Report,CH4,28
2014 IPCC Fifth Assessment Report,N2O,265
