From Unit,US Gallon,UK Gallon,Litre,Barrel,Standard Cubic Foot,Cubic Foot,Cubic Meter,Metric Ton,Kilogram,Pound,Short Ton,Long Ton,Gram,Mile,Kilometer,Kilowatt Hour,Therm,BTU,MMBTU,Megajoule,Gigajoule,Tonne Mile,Short Ton Mile,Short Ton Kilometer,Tonne Kilometer,Passenger Mile,Passenger Kilometer
US Gallon,1,0.83267384,3.78541178,0.023809524,126.67,126.67,0.003785412,,,,,,,,,,,,,,,,,,,,
UK Gallon,1.20095042,1,4.54609188,0.028594058,152.1243897,126.67,0.004546092,,,,,,,,,,,,,,,,,,,,
Litre,0.264172052,0.219969157,1,0.006289811,0.035314667,0.035314667,0.001,,,,,,,,,,,,,,,,,,,,
Barrel,42,34.9723013,158.987295,1,4.2109375,4.2109375,0.158987295,,,,,,,,,,,,,,,,,,,,
Standard Cubic Foot,7.48051948,6.22883288,28.3168466,0.178107607,1,1,0.028316847,,,,,,,,,,,,,,,,,,,,
Cubic Foot,7.48051948,6.22883288,28.3168466,0.178107607,1,1,0.028316847,,,,,,,,,,,,,,,,,,,,
Cubic Meter,264.172052,219.969157,1000,6.28981077,35.3146667,35.3146667,1,,,,,,,,,,,,,,,,,,,,
Metric Ton,,,,,,,,1,1000,2204.62262,1.10231131,0.984206528,1000000,,,,,,,,,,,,,,
Kilogram,,,,,,,,0.001,1,2.20462262,0.001102311,0.000984207,1000,,,,,,,,,,,,,,
Pound,,,,,,,,0.000453592,0.45359237,1,0.0005,0.000446429,453.59237,,,,,,,,,,,,,,
Short Ton,,,,,,,,0.90718474,907.18474,2000,1,0.892857143,907184.74,,,,,,,,,,,,,,
Long Ton,,,,,,,,1.01604691,1 016.04691,2240,1.12,1,1016046.91,,,,,,,,,,,,,,
Gram,,,,,,,,0.000001,0.001,,,,1,,,,,,,,,,,,,,
Mile,,,,,,,,,,,,,,1,1.609344,,,,,,,,,,,,
Kilometer,,,,,,,,,,,,,,0.621371192,1,,,,,,,,,,,,
Kilowatt Hour,,,,,,,,,,,,,,,,1,0.034121416,3412.14163,0.003412142,3.6,0.0036,,,,,,
Therm,,,,,,,,,,,,,,,,29.307107,1,100000,0.1,105.505585,0.105505585,,,,,,
BTU,,,,,,,,,,,,,,,,0.000293071,0.00001,1,0.000001,0.001055056,1.06E-06,,,,,,
MMBTU,,,,,,,,,,,,,,,,293.07107,10,1000000,1,1055.05585,1.05505585,,,,,,
Megajoule,,,,,,,,,,,,,,,,0.277777778,0.009478171,947.81712,0.000947817,1,0.001,,,,,,
Gigajoule,,,,,,,,,,,,,,,,277.777778,9.4781712,947817.12,0.94781712,1000,1,,,,,,
Tonne Mile,,,,,,,,,,,,,,,,,,,,,,1,1.10231131,1.77399809,1.609344,,
Short Ton Mile,,,,,,,,,,,,,,,,,,,,,,0.907184741,1,1.609344001,1.459972319,,
Short Ton Kilometer,,,,,,,,,,,,,,,,,,,,,,0.563698464,0.621371192,1,0.90718474,,
Tonne Kilometer,,,,,,,,,,,,,,,,,,,,,,0.621371192,0.684944493,1.10231131,1,,
Passenger Mile,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.609344
Passenger Kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,0.621371192,1
