Transport and Fuel,Region,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator,Default Scope,Mode of Transport
Train - Diesel Fuel,UK,0.8,Gram,US Gallon,0.26,Gram,US Gallon,,Rail
Other,UK,0,Gram,US Gallon,0,Gram,US Gallon,,Rail
Agricultural Equipment - Gasoline,UK,1.26,Gram,US Gallon,0.22,Gram,US Gallon,,Road
Agricultural Equipment - Diesel Fuel,UK,1.44,Gram,US Gallon,0.26,Gram,US Gallon,,Road
Construction Equipment - Gasoline,UK,0.5,Gram,US Gallon,0.22,Gram,US Gallon,,Road
Construction Equipment - Diesel Fuel,UK,0.58,Gram,US Gallon,0.26,Gram,US Gallon,,Road
Other,UK,0,Gram,US Gallon,0,Gram,US Gallon,,Road
Ship and Boat - Residual Fuel Oil,UK,0.86,Gram,US Gallon,0.3,Gram,US Gallon,,Water
Ship and Boat - Diesel Fuel,UK,0.74,Gram,US Gallon,0.26,Gram,US Gallon,,Water
Ship and Boat - Gasoline,UK,0.64,Gram,US Gallon,0.22,Gram,US Gallon,,Water
Other,UK,0,Gram,US Gallon,0,Gram,US Gallon,,Water
Other,UK,0,Gram,US Gallon,0,Gram,US Gallon,,AirCraft
Train - Diesel Fuel,US,0.8,Gram,US Gallon,0.26,Gram,US Gallon,,Rail
Agricultural Equipment - Gasoline,US,1.26,Gram,US Gallon,0.22,Gram,US Gallon,,Road
Agricultural Equipment - Diesel Fuel,US,1.44,Gram,US Gallon,0.26,Gram,US Gallon,,Road
Construction Equipment - Gasoline,US,0.5,Gram,US Gallon,0.22,Gram,US Gallon,,Road
Construction Equipment - Diesel Fuel,US,0.58,Gram,US Gallon,0.26,Gram,US Gallon,,Road
Bus - CNG,US,4.7184,Gram,US Gallon,0.42,Gram,US Gallon,,Road
Bus - Ethanol,US,0.985,Gram,US Gallon,0.875,Gram,US Gallon,,Road
Bus - Diesel,US,0.01887,Gram,US Gallon,0.01776,Gram,US Gallon,,Road
Bus - Gasoline,US,0.105,Gram,US Gallon,0.085,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1984-1993,US,1.584,Gram,US Gallon,1.45575,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1994,US,1.19475,Gram,US Gallon,1.26,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1995,US,0.8055,Gram,US Gallon,1.06425,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1996,US,0.612,Gram,US Gallon,0.9585,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1997,US,0.603,Gram,US Gallon,0.9495,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1998,US,0.56025,Gram,US Gallon,0.88425,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 1999,US,0.486,Gram,US Gallon,0.75825,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2000,US,0.4005,Gram,US Gallon,0.61425,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2001,US,0.2475,Gram,US Gallon,0.3555,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2002,US,0.24075,Gram,US Gallon,0.34425,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2003,US,0.2565,Gram,US Gallon,0.30375,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2004,US,0.32625,Gram,US Gallon,0.18675,Gram,US Gallon,,Road
Passenger Car - Gasoline - Year 2005-present,US,0.33075,Gram,US Gallon,0.17775,Gram,US Gallon,,Road
Passenger Car - Diesel - Year 1960-1982,US,0.0135,Gram,US Gallon,0.027,Gram,US Gallon,,Road
Passenger Car - Diesel - Year 1983-present,US,0.01125,Gram,US Gallon,0.0225,Gram,US Gallon,,Road
Passenger Car - Fuel Unknown,US,0.6975,Gram,US Gallon,0.72,Gram,US Gallon,,Road
Light Goods Vehicle - CNG,US,11.9394,Gram,US Gallon,0.81,Gram,US Gallon,,Road
Light Goods Vehicle - LPG,US,0.5994,Gram,US Gallon,1.0854,Gram,US Gallon,,Road
Light Goods Vehicle - Ethanol,US,0.891,Gram,US Gallon,1.0854,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1987-1993,US,1.31706,Gram,US Gallon,1.6767,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1994,US,1.04652,Gram,US Gallon,1.59084,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1995,US,0.83754,Gram,US Gallon,1.47096,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1996,US,0.73224,Gram,US Gallon,1.41102,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1997,US,0.73224,Gram,US Gallon,1.41102,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1998,US,0.63342,Gram,US Gallon,1.17936,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 1999,US,0.52002,Gram,US Gallon,0.91368,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 2000,US,0.56052,Gram,US Gallon,1.00602,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 2001,US,0.24462,Gram,US Gallon,0.26568,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 2002,US,0.28836,Gram,US Gallon,0.36936,Gram,US Gallon,,Road
Light Goods Vehicle - Gasoline - Year 2003,US,0.2511,Gram,US Gallon,0.18468,Gram,US Gallon,,Road
