Vehicle and Size,Region,CO2,CO2 - Biomass Fuel,CO2 Unit - Numerator,CO2 Unit - Denominator,Default Scope,Vehicle Type,Mode of Transport,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator
Air - Domestic,Other,1.96073,,Kilogram,Tonne Kilometer,,Aircraft,Aircraft,0.0417,Gram,Short Ton Mile,0.0479,Gram,Short Ton Mile
Air - Short Haul,Other,1.47389,,Kilogram,Tonne Kilometer,,Aircraft,Aircraft,0.0417,Gram,Short Ton Mile,0.0479,Gram,Short Ton Mile
Air - Long Haul,Other,0.61324,,Kilogram,Tonne Kilometer,,Aircraft,Aircraft,0.0417,Gram,Short Ton Mile,0.0479,Gram,Short Ton Mile
Rail,Other,0.0252,,Kilogram,Short Ton Mile,,Rail,Rail,0.002,Gram,Short Ton Mile,0.0006,Gram,Short Ton Mile
Road Vehicle - HGV - Rigid - Engine Size 3.5 - 7.5 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Rigid - Engine Size 7.5 - 17 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Rigid - Engine Size >17 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Rigid - Engine Size Unknown,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Articulated - Engine Size 3.5 - 33 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Articulated - Engine Size >33 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Articulated - Engine Size Unknown,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - HGV - Type Unknown,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - Light Goods Vehicle - Petro - Engine Size ≤1.25 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - Light Goods Vehicle - Diesel - Engine Size ≤3.5 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - Light Goods Vehicle - LPG or CNG - Engine Size ≤3.5 tonnes,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Road Vehicle - Light Goods Vehicle - Fuel Unknown,Other,0.297,,Kilogram,Short Ton Mile,,HGV and Light Goods Vehicle,Road,0.0035,Gram,Short Ton Mile,0.0027,Gram,Short Ton Mile
Watercraft - Large RoPax Ferry,Other,0.048,,Kilogram,Tonne Kilometer,,Waterborne Craft,Water,0.0041,Gram,Short Ton Mile,0.0014,Gram,Short Ton Mile
Watercraft - Shipping - Small Tanker (844 tonnes deadweight),Other,0.048,,Kilogram,Short Ton Mile,,Waterborne Craft,Water,0.0041,Gram,Short Ton Mile,0.0014,Gram,Short Ton Mile
Watercraft - Shipping - Large Tanker (18371 tonnes deadweight),Other,0.048,,Kilogram,Short Ton Mile,,Waterborne Craft,Water,0.0041,Gram,Short Ton Mile,0.0014,Gram,Short Ton Mile
Watercraft - Shipping - Very Large Tanker (100000 tonnes deadweight),Other,0.048,,Kilogram,Short Ton Mile,,Waterborne Craft,Water,0.0041,Gram,Short Ton Mile,0.0014,Gram,Short Ton Mile
Watercraft - Shipping - Small Bulk Carrier (1720 tonnes deadweight),Other,0.048,,Kilogram,Short Ton Mile,,Waterborne Craft,Water,0.0041,Gram,Short Ton Mile,0.0014,Gram,Short Ton Mile
