Vehicle and Type,Region,CO2,CO2 - Biomass Fuel,CO2 Unit - Numerator,CO2 Unit - Denominator,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator,Default Scope,Mode of Transport,,,,,,,,,,,,
Air - Domestic,Other,0.17147,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - Seating Unknown,Other,0.097,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - Economy Class,Other,0.09245,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - First/Business Class,Other,0.13867,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Seating Unknown,Other,0.11319,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Economy Class,Other,0.08263,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Economy+ Class,Other,0.13221,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - Business Class,Other,0.23963,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Long Haul - First Class,Other,0.33052,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Train - Light Rail,Other,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Tram,Other,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Average (Light Rail and Tram),Other,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - National Rail,Other,0.185,,Kilogram,Passenger Mile,0.002,Gram,Passenger Mile,0.001,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Train - Subway,Other,0.163,,Kilogram,Passenger Mile,0.004,Gram,Passenger Mile,0.002,Gram,Passenger Mile,Scope 3,Rail,,,,,,,,,,,,
Taxi,Other,0.23,,Kilogram,Passenger Mile,0.02,Gram,Passenger Mile,0.021,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Local Bus,Other,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Coach,Other,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Bus - Type Unknown,Other,0.107,,Kilogram,Passenger Mile,0.0006,Gram,Passenger Mile,0.0005,Gram,Passenger Mile,Scope 3,Road,,,,,,,,,,,,
Large RoPax Ferry,Other,0.1152,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,water,,,,,,,,,,,,
Air - Domestic,UK,0.17147,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - Seating Unknown,UK,0.097,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - Economy Class,UK,0.09245,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
Air - Short Haul - First/Business Class,UK,0.13867,,Kilogram,Passenger Kilometer,,,,,,,Scope 3,Air,,,,,,,,,,,,
