"CO2, CH4 and N2O Emission Factors for US by Vehicle Distance",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Vehicle and Fuel and Vehicle Year,Region,CH4,CH4 Unit - Numerator,CH4 Unit - Denominator,N2O,N2O Unit - Numerator,N2O Unit - Denominator,Default Scope,Mode of Transport,Fuel Efficiency,Fuel Efficiency Unit - Numerator,Fuel Efficiency Unit - Denominator,Fuel,CO2,CO2 - Biomass Fuel,CO2 Unit - Numerator,CO2 Unit - Denominator,,
Bus - CNG,Other,,,,,,,,Road,2.4,Mile,US Gallon,CNG,,,,,,
Bus - Ethanol,Other,,,,,,,,Road,5,Mile,US Gallon,Ethanol,,1.112,Kilogram,Mile,,
Bus - Diesel,Other,,,,,,,,Road,3.7,Mile,US Gallon,On-Road Diesel Fuel,2.738108108,,Kilogram,Mile,,
Bus - Gasoline,Other,,,,,,,,Road,5,Mile,US Gallon,Gasoline/Petrol,1.719746998,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1984-1993,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1994,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1995,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1996,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1997,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1998,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 1999,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2000,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2001,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2002,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2003,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2004,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Gasoline - Year 2005-present,Other,,,,,,,,Road,22.5,Mile,US Gallon,Gasoline/Petrol,0.382166,,Kilogram,Mile,,
Passenger Car - Diesel - Year 1960-1982,Other,,,,,,,,Road,22.5,Mile,US Gallon,On-Road Diesel Fuel,0.450266667,,Kilogram,Mile,,
Passenger Car - Diesel - Year 1983-present,Other,,,,,,,,Road,22.5,Mile,US Gallon,On-Road Diesel Fuel,0.450266667,,Kilogram,Mile,,
Passenger Car - Fuel Unknown,Other,,,,,,,,Road,22.5,Mile,US Gallon,,,,,,,
Light Goods Vehicle - CNG,Other,,,,,,,,Road,16.2,Mile,US Gallon,CNG,,,,,,
Light Goods Vehicle - LPG,Other,,,,,,,,Road,16.2,Mile,US Gallon,LPG,0.37654321,,Kilogram,Mile,,
Light Goods Vehicle - Ethanol,Other,,,,,,,,Road,16.2,Mile,US Gallon,Ethanol,,0.343209877,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1987-1993,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1994,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1995,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1996,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
Light Goods Vehicle - Gasoline - Year 1997,Other,,,,,,,,Road,16.2,Mile,US Gallon,Gasoline/Petrol,0.530786111,,Kilogram,Mile,,
