"Amcor Rigid Plastics - PET Bottles - Allentown, PA"
"Amcor Rigid Plastics - PET Bottles - Brampton, ON, Canada"
"Amcor Rigid Plastics - PET Bottles - Nicholasville, KY"
"Anchor Glass - Liquor Bottles - Henryetta, OK"
"Anchor Glass - Liquor Bottles - Lawrenceburg, IN"
"Anchor Glass - Liquor Bottles - Shakope, MN"
"Ardagh Group - Liquor Bottles - Port Allegany, PA"
"Ardagh Group - Liquor Bottles - Ruston, LA"
"Ardagh Group - Liquor Bottles - Winchester, IN"
"Ball - Aluminum Cans - Fairfield, CA"
"Ball - Aluminum Cans - Fort Worth, TX"
"Ball - Aluminum Cans - Golden, CO"
"Ball - Aluminum Cans - Goodyear, AZ"
"Ball - Aluminum Cans - Kapolei, HI"
"Ball - Aluminum Cans - Monterrey, Mexico"
"Ball - Aluminum Cans - Pittston, PA"
"Ball - Aluminum Cans - Queretaro, Mexico"
"Ball - Aluminum Cans - Wallkill, NY"
"Hwa Hsia Glass - Food Glass - Hsinchu City, Taiwan"
"O-I Packaging Solutions - Wine Bottles - Monterrey, Mexico"
"Owens Illinois (OI) - Beer Bottles - Los Angeles, CA"
"Owens Illinois (OI) - Beer Bottles - Waco, Tx"
"Owens Illinois (OI) - Beer Bottles - Windsor, Co"
"Owens Illinois (OI) - Wine and Beer - Brampton, ON, Canada"
"Owens Illinois (OI) - Wine and Beer - Montreal, QC, Canada"
"Owens Illinois (OI) - Wine Bottles - Kalama, WA"
"Owens Illinois (OI) - Wine Bottles - Tracy, CA"
"Piramal Glass - Liquor Bottles / Food Bottles - Jambusar, Gujarat, India"
"Saverglass - Wine Bottles - Feuquières, France"
"Saverglass - Wine Bottles - Guadalajara, Mexico"
"Saverglass - Wine Bottles - Ras al-Khaimah, UAE"
"Shandong Dingxin Electronic - Liquor Bottles - Rizhao City, China"
"Shanghai United Can Co - Aluminum Cans - Shanghai, China"
"Stoelzle Glass USA - Liquor bottles - Monaca, PA"
