,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field 1,Value 1,Field 2,Value 2,Field 3,Value 3,Field 4,Value 4,Message,Error Message?,,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Bus - CNG,,,,,Sorry. Emission factors are not available for CNG vehicles based on vehicle distance.,Yes,Vehicle Distance (e.g. Road Transport)Bus - CNG,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Light Goods Vehicle - CNG,,,,,Sorry. Emission factors are not available for CNG vehicles based on vehicle distance.,Yes,Vehicle Distance (e.g. Road Transport)Light Goods Vehicle - CNG,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Heavy Duty Vehicle - Rigid - CNG,,,,,Sorry. Emission factors are not available for CNG vehicles based on vehicle distance.,Yes,Vehicle Distance (e.g. Road Transport)Heavy Duty Vehicle - Rigid - CNG,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Heavy Duty Vehicle - Articulated - CNG,,,,,Sorry. Emission factors are not available for CNG vehicles based on vehicle distance.,Yes,Vehicle Distance (e.g. Road Transport)Heavy Duty Vehicle - Articulated - CNG,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Passenger Car - Fuel Unknown,,,,,Sorry. Emission factors based on vehicle distance are not available when the Fuel Used is not known.,Yes,Vehicle Distance (e.g. Road Transport)Passenger Car - Fuel Unknown,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Light Goods Vehicle - Fuel Unknown,,,,,Sorry. Emission factors based on vehicle distance are not available when the Fuel Used is not known.,Yes,Vehicle Distance (e.g. Road Transport)Light Goods Vehicle - Fuel Unknown,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Heavy Duty Vehicle - Rigid - Fuel Unknown,,,,,Sorry. Emission factors based on vehicle distance are not available when the Fuel Used is not known.,Yes,Vehicle Distance (e.g. Road Transport)Heavy Duty Vehicle - Rigid - Fuel Unknown,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,Heavy Duty Vehicle - Articulated - Fuel Unknown,,,,,Sorry. Emission factors based on vehicle distance are not available when the Fuel Used is not known.,Yes,Vehicle Distance (e.g. Road Transport)Heavy Duty Vehicle - Articulated - Fuel Unknown,,,,,,,,,,,,,,,,,
Distance Travelled,*,Unit of Distance,,,,,,Please select Unit of Distance,Yes,~Distance Travelled^Unit of Distance,,,,,,,,,,,,,,,,,
Distance Travelled,,Unit of Distance,*,,,,,Please enter Distance Travelled,Yes,^Distance Travelled~Unit of Distance,,,,,,,,,,,,,,,,,
Distance Travelled,*,Vehicle Type,,,,,,Please select Vehicle Type,Yes,~Distance Travelled^Vehicle Type,,,,,,,,,,,,,,,,,
Fuel Amount,*,Unit of Fuel Amount,,,,,,Please enter Unit of Fuel Amount,Yes,~Fuel Amount^Unit of Fuel Amount,,,,,,,,,,,,,,,,,
Fuel Amount,,Unit of Fuel Amount,*,,,,,Please enter Fuel Amount,Yes,^Fuel Amount~Unit of Fuel Amount,,,,,,,,,,,,,,,,,
Fuel Used,*,Fuel Amount,,,,,,Please enter Fuel Amount,Yes,~Fuel Used^Fuel Amount,,,,,,,,,,,,,,,,,
Fuel Used,,Fuel Amount,*,,,,,Please select Fuel Used,Yes,^Fuel Used~Fuel Amount,,,,,,,,,,,,,,,,,
Type of Activity Data,Fuel Use,Fuel Used,,,,,,Please select Fuel Used,Yes,Fuel Use^Fuel Used,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Vehicle Type,,,,,,Please select Vehicle Type,Yes,Vehicle Distance (e.g. Road Transport)^Vehicle Type,,,,,,,,,,,,,,,,,
Type of Activity Data,Vehicle Distance (e.g. Road Transport),Distance Travelled,,,,,,Please enter Distance Travelled,Yes,Vehicle Distance (e.g. Road Transport)^Distance Travelled,,,,,,,,,,,,,,,,,
Type of Activity Data,Passenger Distance (e.g. Public Transport),Vehicle Type,,,,,,Please select Vehicle Type,Yes,Passenger Distance (e.g. Public Transport)^Vehicle Type,,,,,,,,,,,,,,,,,
Type of Activity Data,Passenger Distance (e.g. Public Transport),Distance Travelled,,,,,,Please enter Distance Travelled,Yes,Passenger Distance (e.g. Public Transport)^Distance Travelled,,,,,,,,,,,,,,,,,
Type of Activity Data,Passenger Distance (e.g. Public Transport),# of Passenger,,,,,,Please enter # of Passengers,Yes,Passenger Distance (e.g. Public Transport)^# of Passenger,,,,,,,,,,,,,,,,,
Type of Activity Data,Weight Distance (e.g. Freight Transport),Vehicle Type,,,,,,Please select Vehicle Type,Yes,Weight Distance (e.g. Freight Transport)^Vehicle Type,,,,,,,,,,,,,,,,,
Type of Activity Data,Weight Distance (e.g. Freight Transport),Distance Travelled,,,,,,Please enter Distance Travelled,Yes,Weight Distance (e.g. Freight Transport)^Distance Travelled,,,,,,,,,,,,,,,,,
Type of Activity Data,Custom Fuel,Fuel Used,,,,,,Please select Fuel Used. This selection allows users to use their own ‘custom’ emission factors that have been entered into the tool on the ‘Settings’ tab.,Yes,Custom Fuel^Fuel Used,,,,,,,,,,,,,,,,,
Type of Activity Data,Custom Vehicle,Vehicle Type,,,,,,Please select Vehicle Type. This selection allows users to use their own ‘custom’ emission factors that have been entered into the tool on the ‘Settings’ tab.,Yes,Custom Vehicle^Vehicle Type,,,,,,,,,,,,,,,,,
Type of Activity Data,Custom Vehicle,Distance Travelled,,,,,,Please enter Distance Travelled,Yes,Custom Vehicle^Distance Travelled,,,,,,,,,,,,,,,,,
Type of Activity Data,Weight Distance (e.g. Freight Transport),Gross Weight,,,,,,"Please enter gross weight of vehicle, which includes the weight of both the vehicle and the goods",Yes,Weight Distance (e.g. Freight Transport)^Gross Weight,,,,,,,,,,,,,,,,,
Type of Activity Data,Fuel Use and Vehicle Distance,Vehicle Type,,,,,,Please select Vehicle Type,Yes,Fuel Use and Vehicle Distance^Vehicle Type,,,,,,,,,,,,,,,,,
Type of Activity Data,Fuel Use and Vehicle Distance,Distance Travelled,,,,,,Please enter Distance Travelled,Yes,Fuel Use and Vehicle Distance^Distance Travelled,,,,,,,,,,,,,,,,,
Type of Activity Data,Fuel Use and Vehicle Distance,Fuel Used,,,,,,Please select Fuel Used,Yes,Fuel Use and Vehicle Distance^Fuel Used,,,,,,,,,,,,,,,,,
Mode of Transport,Road,Scope,Scope 1,,,,,Fuel use data are preferred for calculating CO2 emissions. Vehicle distance data are preferred for CH4 and N2O.,No,RoadScope 1,,,,,,,,,,,,,,,,,
Region,Other,,,,,,,"The default emission factors for ""Other"" regions are either global defaults (for CO2 emissions based on fuel use) or from UK DEFRA. These values should only be used in the absence of more specific emission factors.",No,Other,,,,,,,,,,,,,,,,,
Type of Activity Data,Weight Distance (e.g. Freight Transport),,,,,,,Emissions from freight transport can also be calculated using Vehicle distance data.,No,Weight Distance (e.g. Freight Transport),,,,,,,,,,,,,,,,,
Mode of Transport,Aircraft,,,,,,,"Sorry. Emission factors are not available to calculate the CH4 and N2O emissions (which contribute <5% to the total GHG emissions from aircraft). Domestic’ flights are < 300 miles/483 km; short-haul flights are ≥ 300 miles/483 km and <700 miles/1126 km, and long haul flights are anything ≥ 700 miles/1126 km.",No,Aircraft,,,,,,,,,,,,,,,,,
Region,UK,,,,,,,The default emission factors are sourced from the UK DEFRA (http://www.defra.gov.uk/environment/business/reporting/pdf/passenger-transport.pdf).,No,UK,,,,,,,,,,,,,,,,,
Region,US,,,,,,,The default emission factors are sourced from the US EPA Climate Leaders program or from the UK DEFRA (for air travel only).,No,US,,,,,,,,,,,,,,,,,
Region,UK,Mode of Transport,Road,,,,,Sorry. UK-specific emission factors are not available to calculate the CH4 and N2O emissions,No,UKRoad,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
